name,animal_image_file_name
ぶた,animalface_buta.png
こあら,animalface_coala.png
ひつじ,animalface_hitsuji.png
いのしし,animalface_inoshishi.png
いぬ,animalface_inu.png
かば,animalface_kaba.png
かんがるー,animalface_kangaroo.png
きじ,animalface_kiji.png
きりん,animalface_kirin.png
きつね,animalface_kitsune.png
くま,animalface_kuma.png
らいおん,animalface_lion.png
ねこ,animalface_neko.png
ねずみ,animalface_nezumi.png
にわとり,animalface_niwatori.png
おおかみ,animalface_ookami.png
ぱんだ,animalface_panda.png
ぺんぎん,animalface_penguin.png
りす,animalface_risu.png
さる,animalface_saru.png
すずめ,animalface_suzume.png
たぬき,animalface_tanuki.png
とら,animalface_tora.png
うま,animalface_uma.png
うさぎ,animalface_usagi.png
うし,animalface_ushi.png
ぞう,animalface_zou.png
